Paziente,180,243,342,593,945,1049,1116,1508,1614,1959
36,8.230786,4.483852,1.2721224,0.68735194,1.4482744,2.0761323,2.2992773,2.593179,3.1802354,1.8567106
38,1.8789098,2.8187838,2.8389964,0.4766444,1.200419,7.303934,3.1609054,0.35302293,1.7873893,0.0
39,4.030891,3.0817287,1.8350021,0.37458915,0.49042875,7.84676,1.9423479,1.1308606,1.4068301,0.0
40,8.995914,5.061423,1.3579797,8.3898535,1.9980485,1.2331256,1.3565851,6.1763945,2.2093577,1.428447
41,1.9858598,5.2853875,1.2907972,0.081775784,0.56032807,3.7460077,3.1657557,0.22740382,2.014218,0.19947794
42,2.2548535,1.9736034,1.426278,0.33727425,0.91241246,4.7571774,3.9488888,1.4366934,5.7203755,1.1853592
43,0.54429144,0.69176686,0.37560457,1.9075239,0.0,0.5766994,2.094151,1.1836913,0.060748696,0.94332135
44,22.636065,14.422827,0.7909924,21.020458,4.5874987,2.4370086,3.146152,3.20312,7.412691,15.513081
46,6.0488253,4.699926,0.8383416,0.95099396,1.4044387,4.273625,3.117105,1.6341968,0.6706068,0.0
47,1.5944767,4.0150595,1.1059481,2.0172687,0.5823684,1.6340575,0.68003595,1.985852,0.28061563,0.0
48,3.520128,2.95039,2.1020865,0.67946637,1.1529055,5.8382936,3.0890608,1.9874246,0.6714551,0.72391534
50,6.945592,3.0522442,1.8675,4.0726447,5.543271,2.2515101,2.9582076,4.030902,4.2164073,1.2008517
52,2.4301612,1.9637424,3.1662683,1.2292883,1.8452971,3.3893678,0.6255182,3.064543,0.16993472,1.0518401
53,16.98996,15.096574,18.8056,12.552295,12.963635,0.44608358,3.3365026,4.8471785,2.9049206,10.010049
54,0.66963476,3.0764866,0.26178712,1.4592974,1.0584457,1.4454783,2.4703183,0.0,2.7935195,0.17203254
56,6.447947,8.03915,1.4314171,2.22747,1.3947034,5.5578933,3.857831,1.1686306,6.405694,1.2674546
57,11.598106,7.633325,2.3221726,17.236023,2.0343158,2.145814,3.8648071,5.582509,3.5630283,6.573209
58,12.417592,10.122857,3.73566,6.2739143,3.1987193,3.517061,6.0971518,6.217082,2.3132253,2.2835417
59,11.5834255,4.118414,0.7742822,0.98450845,1.2982602,10.200936,4.4006686,3.0455651,3.3470447,0.58378166
60,0.40479222,1.9640636,0.7037669,0.689294,1.2957144,4.6561956,0.6110282,2.8279378,0.3863073,0.0
61,10.896823,8.978017,15.846839,10.808668,9.345627,2.631386,1.0803096,6.694814,1.0822499,3.0730476
62,9.559162,6.789713,0.58139306,9.576126,2.0094974,4.668193,0.5379691,5.1910863,4.5563407,3.3569121
64,3.607012,5.719643,2.310389,1.3664138,2.819166,6.329239,3.0222597,2.6677108,2.0514119,0.8136916
65,7.53232,5.6415505,2.1589293,2.8205051,2.1454654,3.6978672,4.1683593,4.321321,4.601521,0.8986023
68,10.271984,8.568671,1.1612555,17.895077,2.7545385,4.2227583,1.6093897,6.683182,2.5104187,6.581524
69,5.1535153,4.2486615,1.6504521,0.0,0.424693,2.8408172,2.1877494,0.67612034,0.0,0.14175016
70,11.142559,9.657918,0.025242537,0.9512089,1.8736823,5.8942184,3.712164,1.0702817,4.115109,1.8167284
71,3.7961478,4.3958325,1.1655277,0.0,0.0023250878,3.350502,1.1598767,0.035433173,0.19026855,0.0
74,5.5845766,5.080016,1.1741476,1.2185295,1.5784712,8.500312,1.37957,2.6604748,3.668571,1.4985961
75,0.30040744,1.9829452,1.1003302,0.0629161,0.8396587,3.6552618,0.9572115,0.5006873,0.32936364,0.0
76,6.444231,2.8960602,0.7357435,1.0426662,1.6591563,3.2953258,0.14937466,1.8169229,2.3900669,2.6563525
78,6.4863586,2.2764478,1.1799963,0.0,1.6669636,4.499491,5.828975,0.0,4.852812,0.51833737
79,15.359996,9.797294,0.0,5.7329216,1.3086982,5.9530544,5.6780577,2.720452,6.7026334,3.3431327
81,10.159014,12.032332,18.655888,20.861942,11.637964,3.2358565,0.015958816,8.516888,1.081521,8.715742
82,1.8910509,2.8901317,0.9294549,1.3821073,1.5823848,7.0193744,2.0948653,1.8528242,1.973742,0.5392772
84,9.5951395,4.631766,0.81308377,0.64920425,1.76248,1.7921605,3.537928,2.743174,1.0399396,1.1970825
85,8.258451,4.262165,0.37297732,2.3582869,0.9643592,3.5002658,5.4568605,1.1788204,6.5610595,2.1113143
86,2.778407,2.9826422,1.0963633,1.0728495,0.088094324,4.5760393,1.8280817,1.6418605,1.3139708,0.99064195
87,5.3663654,2.7561052,1.2262832,1.7354424,3.2998147,5.8683276,1.9127353,1.2473581,2.3685334,1.7544519
88,19.68394,11.808699,9.125334,17.933886,10.171421,5.02966,2.6040215,7.071516,3.0636415,12.737007
89,9.150105,6.798651,0.5520825,7.3845468,2.8981116,4.4442654,2.8538342,3.4173512,8.843938,2.8291368
90,11.969987,7.6408067,0.61059874,2.2844248,0.94199663,6.156341,4.1804886,3.348956,1.5596247,0.34667015
91,23.076046,11.53261,1.0834022,7.655449,3.6842728,3.8100197,0.7316828,3.8935497,1.5181048,5.611271
92,8.562333,8.773705,2.0485826,5.0014396,2.3913095,1.2680968,1.0620979,3.7506645,1.1668186,1.8236597
94,3.6352468,3.7779117,1.4267855,1.8995929,0.09866434,5.2831774,3.0182095,0.9925702,1.1358781,0.0
95,4.316318,4.15923,0.58475435,0.75500685,0.5108334,2.0927048,6.977774,1.4394612,2.2617214,0.0
96,3.2629213,2.2641258,3.004376,0.461084,1.4465501,4.725121,3.0003715,1.191437,2.921492,1.7526792
98,3.1055136,2.9282477,1.1436737,0.2076304,0.648268,6.31235,4.6665273,1.1147773,0.26812786,0.45259517
100,24.56539,15.841755,6.6368074,15.092091,7.462174,3.5340178,1.3168623,5.0180984,2.669638,8.159242
101,6.978021,5.329254,1.1593258,3.9857817,1.2397802,3.0800695,2.636682,3.6848788,3.00418,3.2076557
102,8.684479,8.046015,4.0606856,8.908783,4.2418575,3.7467577,1.7175575,3.5563002,2.3896022,2.1953092
103,3.3934553,3.0393195,3.7994046,0.99687535,2.076939,4.9087887,1.5917321,2.4611843,1.798064,0.89442575
104,8.226007,3.4185808,2.5443683,4.984122,2.3499234,2.9341288,1.8676921,5.4434266,3.6590648,2.449191
105,11.767156,9.006264,3.719287,23.335075,4.8087983,3.184512,2.1839204,8.562786,5.5048285,7.5244637
106,2.0783803,2.5034802,1.5215122,0.94788104,1.615027,6.8677416,1.5463109,1.6779392,0.37368584,0.2859897
107,26.848515,10.722336,3.8688807,22.525623,3.2557416,6.560141,4.327415,4.661825,3.0923486,10.681146
108,2.1272135,4.715544,2.8787594,2.193943,4.6247573,5.9235473,4.937596,2.346841,1.1844923,0.54152554
109,7.370085,7.9951334,6.876302,17.080822,6.262374,4.221384,2.1600618,5.04869,2.3237364,4.571598
110,16.397442,4.599857,0.07382697,8.5242815,0.76107806,14.341287,9.395882,4.6319246,5.6089945,1.6601026
111,2.3396194,2.875387,0.52307135,0.0,0.47432905,3.5927536,0.83658636,2.0758145,0.15918353,0.27361515
112,5.79644,2.0841498,0.17651618,0.69691736,0.3071329,3.890653,0.871557,1.7728779,0.3593309,0.05253002
113,7.807531,5.360588,0.22473395,0.85573596,1.1789448,3.2115762,1.6622952,3.2809536,3.1196337,0.7624639
114,4.176326,2.0491228,3.5740366,1.2505314,3.0969217,2.892166,2.8276863,1.7332675,0.13731804,0.21770331
115,9.782757,3.757325,0.67719704,0.8563307,1.5593648,1.570853,3.7547178,2.9839287,0.6465634,0.7715423
116,11.588778,7.8339877,0.43707174,6.7046695,1.5287054,4.8694825,3.0331159,2.2273512,7.335014,4.226254
117,15.973781,5.0142646,0.77304137,7.6129246,0.9227428,9.916224,4.819873,2.0143692,6.785631,1.7785062
118,34.031967,16.568811,4.714445,34.597206,6.630804,2.3373978,0.42663795,4.746396,3.3673804,16.491259
119,0.764806,1.1368219,1.872917,1.1429014,1.1607792,6.8939066,3.7451887,3.1077983,1.1734593,2.2756977
120,11.012809,8.871532,0.28479642,8.00687,1.3888733,3.476281,1.8548578,5.056474,2.4773219,6.648493
123,4.953634,4.976276,0.5313384,0.28255302,1.9411654,2.9388266,3.232933,0.0,0.0,0.7979776
124,3.0637956,2.0863972,1.2652497,0.5177688,1.1686606,3.0705638,1.7092932,1.0569694,1.3166032,0.98576283
126,12.257942,10.636726,2.0726423,16.60338,1.5981841,3.0981102,4.037908,3.050658,2.8169563,5.009242
127,16.358612,14.415411,3.6891975,6.27293,4.4653096,1.2177075,1.7897798,4.039466,1.6399257,16.835756
128,15.256643,12.448868,4.450182,10.642912,3.3346856,4.268595,2.0580978,6.1670175,2.298518,4.078451
129,12.504187,11.375245,6.374094,16.156656,7.0011525,4.588471,2.4679828,5.941085,2.325525,4.4767523
133,7.067306,6.9636216,2.720058,8.8458,5.2095404,3.1306844,1.4003028,7.0496945,1.8741057,2.0092206
135,7.5838737,2.9607904,0.5366915,1.0941069,0.65489465,2.9975364,3.7354865,3.6578085,4.0938916,1.4716054
136,1.0289097,4.643901,1.5763516,0.38207644,0.72108513,2.6814547,0.98872125,0.82056993,0.41032106,0.0
137,6.408097,6.0744977,2.6102586,0.9411531,4.547709,5.173926,2.5155673,1.0817788,3.9563313,1.1276698
138,6.235869,4.0244484,2.889113,1.5113461,1.4387853,4.380123,1.1582685,0.58879685,0.65694153,0.16050941
139,0.9431401,2.4864376,2.292211,0.0,1.0717385,5.3198013,1.4615983,0.8567634,0.40295786,0.0
141,7.52715,3.5299401,1.2085575,5.5135055,1.0728004,3.7418587,4.801582,2.2958448,6.884098,4.7328224
142,9.413377,2.9753122,0.5262568,2.7993667,2.4807909,4.919984,6.408833,2.9964972,6.395725,0.6726537
144,2.1786304,2.1472332,2.3816571,0.8395427,0.8999732,3.0049067,1.8465298,0.925245,1.324475,0.6784658
146,10.055098,6.690855,0.26749742,1.8295012,1.0042307,4.7348537,5.7490473,3.8914855,7.661251,2.864757
147,8.210209,7.165436,0.8643242,4.748115,1.936918,5.674263,2.320506,2.5900857,4.7146378,2.6392007
149,0.83685166,1.8106058,0.65347975,0.11346087,0.2145116,3.655774,1.0832583,2.3109574,0.51944566,0.3939704
150,18.386414,16.999847,4.068839,21.608318,4.9353757,5.030076,4.620291,7.1036406,4.743498,9.2983
153,18.066149,10.165992,3.5401626,19.401821,2.4716733,2.1432567,0.7568147,11.914802,1.3944068,8.337834
155,18.656622,9.501537,0.9296633,3.8184772,1.7617159,1.9411073,4.0231028,5.0063157,4.5518575,3.091074
158,9.733572,8.511504,0.6923698,1.1557143,0.3902936,3.0443587,2.8050327,3.9467494,5.04673,2.3732448
159,1.3191702,1.5904514,1.171476,0.31712592,0.8943868,1.1182255,2.6089168,2.619162,0.4587509,0.60020167
161,12.796009,8.010902,0.15548882,1.0157983,1.0186107,4.7542267,1.562094,1.336087,4.2022986,2.5206654
163,21.284008,16.444471,9.633751,29.030489,6.0024724,5.205771,2.983477,5.820659,2.4824343,7.2866106
166,13.557956,4.30023,2.24997,1.3805351,3.1039827,4.385958,4.940204,7.2455616,3.6694295,2.157511
168,4.4797883,3.7902925,1.2299142,0.8592873,1.5438235,3.2266269,1.4819084,1.2329531,3.581905,1.5385118
169,2.630707,2.715741,2.6799965,2.209524,1.645863,4.196188,2.6702256,2.0556083,2.9218707,2.2691782
170,10.4761505,11.5229,0.91751075,3.4543636,0.8336355,1.6248451,4.000056,5.284198,6.6459236,5.081505
171,4.6951547,3.97301,1.1044568,1.7861657,2.4677348,4.5790186,2.684743,1.0112908,3.251401,0.0
175,18.715849,13.793615,0.33285624,24.288044,1.120009,3.8918364,2.9173799,3.8475683,4.962465,11.514007
176,8.600354,3.883931,1.2021807,4.1330953,1.4277773,0.63393164,1.5795764,4.382272,1.7687495,3.1225476
178,1.5292495,2.8616297,1.7840608,1.2441854,2.513193,5.513126,2.7537303,0.874468,1.482389,0.0
182,22.155449,16.199055,1.3205397,22.882656,0.5483998,9.082133,4.545899,4.9707756,5.701404,8.303415
183,10.768074,10.764889,5.8555193,9.647601,5.8308606,2.0266376,1.2466677,5.8812304,2.8468337,2.9460359
188,2.7564785,4.116945,0.71873224,0.7096468,1.7535496,2.2661924,1.0563136,0.7236858,1.2763569,0.8042072
189,4.6102004,3.670826,2.575221,0.48896503,1.0593781,4.3583837,1.3568796,0.8082889,1.2247427,0.7857603
190,0.8155958,1.511425,1.9154392,0.9401563,1.4282408,3.4414294,1.1184793,1.346003,0.22664073,0.56341684
193,6.7706184,4.210452,1.3444471,3.802496,1.3522291,1.6636374,1.8238837,5.659691,2.9302351,1.4840205
197,0.16519529,5.0769935,0.996801,0.27236718,2.312092,1.299364,2.9584413,1.8024817,1.8062716,0.0
199,1.4785954,3.5812347,1.1517863,0.13899204,1.0335705,5.782355,0.3268115,0.56890327,0.0,0.0
200,13.621909,2.6183088,2.1284614,4.8852158,1.9993591,4.4096847,4.4964666,1.0959554,3.3736515,1.9664723
205,10.057004,6.861603,3.7396212,19.588669,3.285023,2.1201303,0.99457204,7.905472,2.52994,2.9246373
