Paziente,243,451,509,593,629,1049,1116,1309,1614
5,3.9035609,1.7128711,0.2506822,3.3242738,1.3849249,1.0200206,0.8256339,0.13886067,0.68574905
12,4.468092,6.5251136,3.4500253,0.51204544,1.4523914,5.294036,7.393545,4.9937677,8.797015
15,3.906554,2.883781,0.56160116,0.6306887,1.178664,2.9991786,0.36083388,2.7996852,1.5342386
16,3.3931162,5.771962,2.4408512,1.8856158,2.6192558,4.0551434,1.3479171,2.430074,2.9198246
17,12.368397,4.6526227,9.820083,10.687096,0.8290939,2.9523952,2.4144163,2.0277703,4.894327
19,26.555761,4.563833,0.0,13.061224,0.0,1.7053552,0.8658906,2.1429174,2.4120011
22,2.8577223,2.284035,2.845423,5.111019,4.133612,4.547355,8.214776,2.8618505,7.2939873
23,1.7613455,3.887191,1.2474066,0.4137147,0.49656677,2.1672673,2.2537231,1.1844165,0.8718514
24,2.6499903,4.543199,1.9866984,0.6118408,1.9749072,3.648288,2.2892327,0.04506716,0.6566377
25,10.548807,2.3382282,1.7101429,7.4269347,4.484956,2.86257,1.6453909,2.243066,2.7880955
26,7.042166,5.282343,1.43332,3.7829633,6.911018,3.9606903,1.7923676,4.9853954,5.28703
27,6.812074,1.7844272,2.459254,10.612157,3.3388226,4.6416802,2.1075292,1.8566129,2.2865133
29,5.8956795,3.8567345,3.6411393,3.2268167,2.6684585,3.6268477,2.9909587,5.010087,6.0030947
30,8.724859,2.7095401,2.6431086,0.9154249,2.206599,1.8495588,2.1716318,3.046836,0.62475014
31,14.729785,4.7490535,1.7816842,11.313493,1.9652057,3.259328,0.5128938,1.7092562,1.6454508
33,3.6261811,4.7631345,1.8205423,0.9162633,3.4779143,0.8953227,2.4860415,0.89580834,1.9095013
35,6.1471415,9.398708,9.308705,4.2387066,2.0141582,6.5075984,2.621769,3.9946122,5.6870136
36,4.483852,1.7335529,2.2740018,0.68735194,1.7387574,2.0761323,2.2992773,3.9379601,3.1802354
38,2.8187838,13.693712,5.358683,0.4766444,1.9032571,7.303934,3.1609054,1.469434,1.7873893
39,3.0817287,8.173223,2.9162161,0.37458915,0.74222,7.84676,1.9423479,0.044959426,1.4068301
40,5.061423,2.9857981,3.1647048,8.3898535,4.524121,1.2331256,1.3565851,2.4203398,2.2093577
41,5.2853875,3.3361444,2.94075,0.081775784,0.0,3.7460077,3.1657557,4.026718,2.014218
42,1.9736034,7.895917,3.8288348,0.33727425,0.7876316,4.7571774,3.9488888,2.550705,5.7203755
43,0.69176686,1.5402133,1.1673037,1.9075239,1.5204675,0.5766994,2.094151,1.3154598,0.060748696
44,14.422827,0.21571547,2.0072267,21.020458,4.6655936,2.4370086,3.146152,5.114155,7.412691
46,4.699926,5.7994957,2.7380066,0.95099396,1.101474,4.273625,3.117105,1.762146,0.6706068
47,4.0150595,4.2701426,3.1051111,2.0172687,0.78454036,1.6340575,0.68003595,1.7418253,0.28061563
48,2.95039,5.7072263,3.330468,0.67946637,1.7384694,5.8382936,3.0890608,1.5756557,0.6714551
50,3.0522442,2.811433,4.822462,4.0726447,3.7547283,2.2515101,2.9582076,2.94499,4.2164073
52,1.9637424,5.96142,3.9988425,1.2292883,6.512028,3.3893678,0.6255182,1.9753709,0.16993472
53,15.096574,0.735287,4.594021,12.552295,5.2763643,0.44608358,3.3365026,2.5107276,2.9049206
54,3.0764866,1.3844028,2.1123757,1.4592974,1.2084818,1.4454783,2.4703183,2.6226783,2.7935195
